date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s,R_n,G,T_mean,T_dew,gamma,e_max,e_min,e_s,delta,R_a,U_2
2020-02-12,1.35,14.9,12.4,63.0,98.0,45.0,84.93,2.6,0.0,6.0,15.63,8.83632257896614,0.0,13.65,,0.056478450000000006,1.6943980378095331,1.4399889496967868,1.56719349375316,0.10168592079515978,30.342828579375087,2.600577729746629
2020-02-13,1.23,14.8,11.3,60.0,98.0,39.0,85.0,2.7,0.0,4.2,13.27,7.754944747609811,0.0,13.05,,0.056525,1.6835115280330897,1.339122159399848,1.5113168437164688,0.09825220541303123,30.4854150409534,2.7005999501214992
2020-02-14,1.38,15.9,11.0,63.0,95.0,43.0,85.17,1.9,0.0,4.2,13.33,7.910921147561984,0.0,13.45,,0.05663805,1.8067051290327525,1.312714139105828,1.5597096340692902,0.10053018267971678,30.6288027700264,1.9004221871225362
2020-02-15,1.39,15.5,12.2,79.0,95.0,50.0,85.36,1.7,0.0,7.0,17.17,9.623499677392015,0.0,13.85,,0.0567644,1.761022898120093,1.4211682209835756,1.5910955595518343,0.10285294269897247,30.77290805304849,1.7003777463727956
2020-02-16,1.4,16.2,12.8,77.0,95.0,45.0,85.25,1.0,0.0,6.4,16.42,9.29846430941032,0.0,14.5,,0.05669125,1.841645130417793,1.4782881252432811,1.6599666278305372,0.10672476831502752,30.91764708331567,1.0002222037487034
2020-02-17,1.45,17.5,12.3,63.0,93.0,33.0,84.87,2.0,0.0,7.0,17.31,9.75793209561062,0.0,14.9,,0.056438550000000004,1.9999869748999506,1.430551404412208,1.7152691896560794,0.10916847143933489,31.06293603895887,2.000444407497407
2020-02-18,1.7,20.1,13.7,71.0,94.0,45.0,84.98,2.2,0.0,8.0,18.74,10.646832922023643,0.0,16.9,,0.056511700000000005,2.35279512899011,1.5677473692068915,1.9602712490985008,0.12211265844598747,31.20869116147373,2.200488848247147
2020-02-19,1.55,19.2,12.6,67.0,91.0,38.0,85.18,2.0,0.0,8.0,18.81,10.562779442755748,0.0,15.899999999999999,,0.056644700000000006,2.224961118337833,1.4590281988655032,1.841994658601668,0.11548666201805229,31.35482883467381,2.000444407497407
2020-02-20,1.51,16.8,13.1,66.0,96.0,34.0,85.26,1.0,0.0,7.0,17.51,9.996101480339329,0.0,14.95,,0.0566979,1.913305694509122,1.5075965447621003,1.7104511196356111,0.10947725118581504,31.501265663951493,1.0002222037487034
2020-02-21,1.48,16.3,13.8,64.0,93.0,39.0,85.44,1.9,0.0,9.0,20.33,11.26563739579269,0.0,15.05,,0.056817599999999996,1.853422649205739,1.5779746093220435,1.7156986292638914,0.11009703764423398,31.647918555727745,1.9004221871225362
2020-02-22,1.39,16.0,12.3,73.0,93.0,45.0,85.55,1.0,0.0,8.0,19.02,10.624493408782826,0.0,14.15,,0.05689075,1.8182866804855506,1.430551404412208,1.6244190424488794,0.10462482688484939,31.79470479696903,1.0002222037487034
2020-02-23,1.39,16.0,12.3,73.0,93.0,45.0,85.55,1.0,0.0,8.0,19.1,10.68858272930451,0.0,14.15,,0.05689075,1.8182866804855506,1.430551404412208,1.6244190424488794,0.10462482688484939,31.94154213464792,1.0002222037487034
2020-02-24,1.27,14.1,11.0,58.0,86.0,33.0,85.07,2.3,0.0,6.0,16.38,9.423504669179746,0.0,12.55,,0.05657155,1.6090084391753954,1.312714139105828,1.4608612891406116,0.09546664421628191,32.08834885502143,2.300511068622017
2020-02-25,1.35,16.0,11.3,65.0,88.0,44.0,84.91,2.5,0.0,7.0,17.84,10.145804272674548,0.0,13.65,,0.05646515,1.8182866804855506,1.339122159399848,1.5787044199426994,0.10168592079515978,32.235043862599504,2.5005555093717584
2020-02-26,1.22,14.1,10.3,63.0,95.0,32.0,85.04,2.7,0.0,5.0,15.1,8.860293917000687,0.0,12.2,,0.05655160000000001,1.6090084391753954,1.2528677634951673,1.4309381013352813,0.09355701173233348,32.38154675867501,2.7005999501214992
2020-02-27,1.24,14.1,11.1,60.0,90.0,35.0,85.3,2.1,0.0,7.0,17.97,10.174298694081383,0.0,12.6,,0.0567245,1.6090084391753954,1.3214654993101305,1.465236969242763,0.09574213933593977,32.52777791928528,2.100466627872277
2020-02-28,1.23,14.9,7.0,62.0,92.0,19.0,85.45,1.9,0.0,5.0,15.22,9.012795357051463,0.0,10.95,,0.05682425,1.6943980378095331,1.001858425976152,1.3481282318928427,0.0870001292642849,32.67365857247442,1.9004221871225362
2020-02-29,1.43,17.8,12.1,76.0,95.0,50.0,85.52,0.9,0.0,8.0,19.51,11.048142296463174,0.0,14.95,,0.0568708,2.038176335166181,1.4118391324838375,1.7250077338250094,0.10947725118581504,32.81911087472591,0.900199983373833
2020-03-01,1.44,16.9,12.4,64.0,95.0,31.0,85.15,1.9,0.0,7.0,18.16,10.47695434819424,0.0,14.649999999999999,,0.05662475,1.925483602466027,1.4399889496967868,1.6827362760814069,0.10763565028119838,32.964057986434106,1.9004221871225362
2020-03-02,1.44,16.9,12.4,64.0,95.0,31.0,85.15,1.9,0.0,7.0,18.23,10.533745436583521,0.0,14.649999999999999,,0.05662475,1.925483602466027,1.4399889496967868,1.6827362760814069,0.10763565028119838,33.10842414628461,1.9004221871225362
